City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
646,Birnin Kebbi,NG,76.69,broken clouds,12.4539,4.1975,Saffar Guest Inn Ltd
649,Salinopolis,BR,77.68,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
662,Catuday,PH,79.02,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
664,Eydhafushi,MV,82.49,scattered clouds,5.1033,73.0708,Soneva Fushi
665,Bangarapet,IN,83.39,broken clouds,12.9667,78.2,HGR Comforts
667,Krabi,TH,88.0,scattered clouds,8.0726,98.9105,Tharapark View Hotel
668,Bourail,NC,80.26,scattered clouds,-21.5667,165.4833,Motel Allamanda
677,Mangrol,IN,81.79,clear sky,21.1167,70.1167,Hotel The Royal Honours
678,Touros,BR,79.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
680,Fomboni,KM,81.95,light rain,-12.28,43.7425,Auberge les abou
683,Isangel,VU,76.98,broken clouds,-19.55,169.2667,Tanna Lodge
690,Labuan,MY,88.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
