City_id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Saskylakh,RU,2021-12-05 08:13:17,71.9167,114.0833,-16.92,96,100,13.31,overcast clouds
239,San Quintin,MX,2021-12-05 08:13:18,30.4833,-115.95,59.92,83,97,10.71,overcast clouds
240,San Policarpo,PH,2021-12-05 08:13:20,12.1791,125.5072,79.9,75,71,18.1,broken clouds
241,Jurado,CO,2021-12-05 08:13:21,7.1053,-77.7641,75.15,94,94,3.31,light rain
242,Marrakesh,MA,2021-12-05 08:13:22,31.6315,-8.0083,41.07,87,0,3.44,clear sky
243,Balkanabat,TM,2021-12-05 08:13:24,39.5108,54.3671,56.26,34,2,8.52,clear sky
244,Half Moon Bay,US,2021-12-05 08:06:13,37.4636,-122.4286,54.34,91,90,1.01,overcast clouds
245,Bjornevatn,NO,2021-12-05 08:13:26,69.6672,29.9847,1.74,85,26,11.5,scattered clouds
246,Vestmanna,FO,2021-12-05 08:13:28,62.1564,-7.1664,34.72,69,20,6.91,few clouds
247,Manati,PR,2021-12-05 08:13:29,18.4275,-66.4921,76.98,98,42,9.33,scattered clouds
248,Komyshnya,UA,2021-12-05 08:13:31,50.1859,33.684,31.14,71,7,4.54,clear sky
249,Nanortalik,GL,2021-12-05 08:13:32,60.1432,-45.2371,30.81,82,100,19.44,snow
250,Faya,SA,2021-12-05 08:13:33,18.3851,42.4509,72.12,25,0,4.05,clear sky
251,Boende,CD,2021-12-05 08:13:35,-0.2167,20.8667,74.75,88,100,3.91,overcast clouds
252,Jaguaruna,BR,2021-12-05 08:13:37,-28.615,-49.0256,64.94,95,99,5.35,overcast clouds
253,Sooke,CA,2021-12-05 08:13:39,48.3746,-123.7276,38.77,95,61,7.4,broken clouds
254,Kontagora,NG,2021-12-05 08:13:40,10.3999,5.4695,81.14,21,84,9.37,broken clouds
255,Karpathos,GR,2021-12-05 08:13:43,35.507,27.2132,62.56,77,75,6.91,broken clouds
256,Wolnzach,DE,2021-12-05 08:13:44,48.6038,11.6257,38.39,94,75,3.44,broken clouds
257,Brae,GB,2021-12-05 08:13:45,60.3964,-1.353,37.31,64,93,21.9,overcast clouds
258,Gat,IL,2021-12-05 08:09:36,31.61,34.7642,69.78,40,3,13.31,clear sky
259,Morehead,US,2021-12-05 08:13:48,37.2711,-87.1764,47.98,61,90,5.75,overcast clouds
260,Rawson,AR,2021-12-05 08:13:49,-43.3002,-65.1023,66.43,39,0,9.73,clear sky
